Document,Section,Heading,Main Question,Rubric Count,Concept Count,QA Score,Warning Count,Warning Codes
Community Planning Act,87,Subdivision plan for roads and streets,What notice requirements are established by section 87 of Community Planning Act?,6,7,20,10,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT
Community Planning Act,88,Approval of subdivision plan for streets and land for public purposes,What are the application requirements under section 88 of Community Planning Act?,4,1,80,4,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,89,Amendments to subdivision plan,What filing or registration requirements are established by section 89 of Community Planning Act?,2,7,100,0,
Community Planning Act,90,Subdivision plan by local government,What certification requirements are established by section 90 of Community Planning Act?,2,2,85,3,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT
Community Planning Act,91,Making of development charge by-law,What powers or authority are established by section 91 of Community Planning Act?,6,1,50,7,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,92,Development charge agreement,What does section 92 of Community Planning Act provide?,2,1,70,3,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Community Planning Act,93,Validity and coming into force of development charge by-law,What certification requirements are established by section 93 of Community Planning Act?,1,2,80,2,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT
Community Planning Act,94,Effect of development charge agreement,What certification requirements are established by section 94 of Community Planning Act?,1,1,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Community Planning Act,95,Definition of “incentive or bonus zoning agreement”,What definitions are provided in section 95 of Community Planning Act?,1,2,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,96,Incentive or bonus zoning agreements,What powers or authority are established by section 96 of Community Planning Act?,8,2,35,10,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,97,Validity and coming into force of incentive or bonus zoning agreement by-law,What certification requirements are established by section 97 of Community Planning Act?,1,1,80,2,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT
Community Planning Act,98,Prohibition on breach of agreement,What does section 98 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,99,Local government agreements,What requirements are established by section 99 of Community Planning Act?,4,1,55,6,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,100,Comply with notice provisions,What requirements are established by section 100 of Community Planning Act?,1,2,75,3,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT;CONCEPT_FRAGMENT
Community Planning Act,101,Development scheme,What does section 101 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,102,Preparation and content of development scheme,What does section 102 of Community Planning Act provide?,5,2,10,9,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Community Planning Act,103,Comply with notice provisions,What requirements are established by section 103 of Community Planning Act?,1,2,75,3,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT;CONCEPT_FRAGMENT
Community Planning Act,104,Conflict,What does section 104 of Community Planning Act provide?,1,2,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,105,Acquisition of land by local government,What requirements are established by section 105 of Community Planning Act?,3,1,80,4,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT
Community Planning Act,106,Acquisition of land by Minister,What requirements are established by section 106 of Community Planning Act?,3,2,85,3,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,107,Compensation,What powers or authority are established by section 107 of Community Planning Act?,2,3,80,2,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT
Community Planning Act,108,Approval for a development,What does section 108 of Community Planning Act provide?,6,3,25,9,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,109,Procedure for making by-laws,What are the application requirements under section 109 of Community Planning Act?,4,2,60,5,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT
Community Planning Act,110,Request for views of advisory committee,What notice requirements are established by section 110 of Community Planning Act?,3,2,65,4,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Community Planning Act,111,Public notice of by-law,What notice requirements are established by section 111 of Community Planning Act?,6,8,75,5,RUBRIC_ANSWER_TOO_LONG;CONCEPT_FRAGMENT;CONCEPT_FRAGMENT;CONCEPT_FRAGMENT;CONCEPT_FRAGMENT
Community Planning Act,112,Approval by Minister,What are the application requirements under section 112 of Community Planning Act?,3,3,55,4,MAIN_QUESTION_TOPIC_MISMATCH;RUBRIC_ANSWER_TOO_LONG;MALFORMED_QUESTION;CONCEPT_FRAGMENT
Community Planning Act,113,Approval of an amendment to zoning by-law,What are the application requirements under section 113 of Community Planning Act?,1,1,75,2,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Community Planning Act,114,Construction freeze,What objection process is established by section 114 of Community Planning Act?,2,3,70,3,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT
Community Planning Act,115,Review of planning documents,What does section 115 of Community Planning Act provide?,1,1,75,2,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Community Planning Act,116,Consultations by council,What powers or authority are established by section 116 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,117,Amendment or repeal of by-laws,What are the application requirements under section 117 of Community Planning Act?,2,1,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,118,No injurious affection,What regulation-making authority is established by section 118 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,119,Severability of by-law,"What appeal rights, restrictions and deadlines are established by section 119 of Community Planning Act?",1,1,100,0,
Community Planning Act,120,Jurisdiction of Board,What powers or authority are established by section 120 of Community Planning Act?,3,5,80,4,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,121,Orders and decisions,"What appeal rights, restrictions and deadlines are established by section 121 of Community Planning Act?",10,5,5,13,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;CONCEPT_FRAGMENT
Community Planning Act,122,Publication of decision,What does section 122 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,123,Power of inspection,What powers or authority are established by section 123 of Community Planning Act?,4,3,40,6,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT
Community Planning Act,124,Regulations – general,What powers or authority are established by section 124 of Community Planning Act?,4,3,70,6,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,125,Regulations re planning and development,What does section 125 of Community Planning Act provide?,14,6,0,24,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;TOO_MANY_RUBRIC_ITEMS;CONCEPT_FRAGMENT
Community Planning Act,126,Administration,What powers or authority are established by section 126 of Community Planning Act?,2,0,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,126.1,Review of this Act,What does section 126.1 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,127,Fees,What are the application requirements under section 127 of Community Planning Act?,2,1,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,128,Approvals for pipeline construction,What powers or authority are established by section 128 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,129,Development on Crown land,What order-making rules are established by section 129 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,130,Proof of a by-law,What certification requirements are established by section 130 of Community Planning Act?,1,1,85,2,GENERIC_RUBRIC_PROMPT;TOO_FEW_RUBRIC_ITEMS
Community Planning Act,131,Agreement with developer,What requirements are established by section 131 of Community Planning Act?,4,3,40,6,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT
Community Planning Act,132,Powers of Minister,What powers or authority are established by section 132 of Community Planning Act?,6,4,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Community Planning Act,133,Inspection of property,What powers or authority are established by section 133 of Community Planning Act?,4,1,40,6,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Community Planning Act,134,Violation of Act,What powers or authority are established by section 134 of Community Planning Act?,7,3,25,9,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Community Planning Act,135,Application for an order of the Court,What are the application requirements under section 135 of Community Planning Act?,2,2,80,4,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG
Community Planning Act,136,Powers of the Court,What powers or authority are established by section 136 of Community Planning Act?,2,3,65,4,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;CONCEPT_FRAGMENT
Community Planning Act,137,Prohibition,What order-making rules are established by section 137 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,138,Offences and penalties,What offences or penalties are established by section 138 of Community Planning Act?,3,1,65,4,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Community Planning Act,139,Proceedings,What offences or penalties are established by section 139 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,140,Ministerial enforcement of rural plans,What powers or authority are established by section 140 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,141,Definition of “former Act”,What definitions are provided in section 141 of Community Planning Act?,1,2,100,0,
Community Planning Act,142,Municipal development plan under former Act,What powers or authority are established by section 142 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,143,Resolutions under former Act,What powers or authority are established by section 143 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,144,By-laws under former Act,What powers or authority are established by section 144 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,145,"Permits, approvals and orders continue",What order-making rules are established by section 145 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,146,Agreements and contracts continue,What does section 146 of Community Planning Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,147,Applications before Act in force,What are the application requirements under section 147 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,148,Appeals before the Board,"What appeal rights, restrictions and deadlines are established by section 148 of Community Planning Act?",1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,149,Terms of office of members appointed to planning advisory committees continue,What does section 149 of Community Planning Act provide?,1,0,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,150,Payments under section 45 of former Act,What requirements are established by section 150 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,151,Provincial Planning Director continues,What powers or authority are established by section 151 of Community Planning Act?,1,1,70,3,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;CONCEPT_FRAGMENT
Community Planning Act,152,"Municipal planning directors, municipal planning officers, rural community planning directors and rural community planning officers continue",What powers or authority are established by section 152 of Community Planning Act?,1,0,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,153,Repeal of the Community Planning Act,What does section 153 of Community Planning Act provide?,1,1,100,0,
Community Planning Act,154,Regulations under the Community Planning Act,What regulation-making authority is established by section 154 of Community Planning Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Community Planning Act,155,Commencement,What does section 155 of Community Planning Act provide?,1,1,100,0,
Registry Act,1,Definitions,What definitions are provided in section 1 of Registry Act?,1,5,90,2,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG
Registry Act,1.1,Interests within the scope of the Personal Property Security Act,What are the application requirements under section 1.1 of Registry Act?,1,0,90,1,TOO_FEW_RUBRIC_ITEMS
Registry Act,2,Administration,What notice requirements are established by section 2 of Registry Act?,1,0,100,0,
Registry Act,3,Registry office,What does section 3 of Registry Act provide?,2,1,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Registry Act,4,Appointment of registrars and deputy registrars,What notice requirements are established by section 4 of Registry Act?,2,1,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Registry Act,5,Ex officio deputy registrars,What duties does section 5 of Registry Act impose about ex officio deputy registrars?,2,1,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Registry Act,6,Chief Registrar of Deeds,What duties does section 6 of Registry Act impose about chief registrar of deeds?,6,2,50,7,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Registry Act,7,Security of registrar and deputy registrar,What duties does section 7 of Registry Act impose about security of registrar and deputy registrar?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,8,Oath of registrar and deputy registrar,What duties does section 8 of Registry Act impose about oath of registrar and deputy registrar?,2,1,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Registry Act,9,Powers and duties of deputy registrar,What duties does section 9 of Registry Act impose about powers and duties of deputy registrar?,1,1,100,0,
Registry Act,10,When registry office open,What filing or registration requirements are established by section 10 of Registry Act?,3,2,80,4,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;CONCEPT_FRAGMENT
Registry Act,11,Conflict of interests,What duties does section 11 of Registry Act impose about conflict of interests?,2,1,90,2,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Registry Act,12,Duties of registrar,What duties does section 12 of Registry Act impose about duties of registrar?,2,2,60,3,MAIN_QUESTION_TOPIC_MISMATCH;MALFORMED_QUESTION;RUBRIC_ANSWER_TOO_LONG
Registry Act,13,Seal of registrar; production of documents,What notice requirements are established by section 13 of Registry Act?,1,1,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Registry Act,13.1,Powers regarding document maintenance and disposal,What powers or authority are established by section 13.1 of Registry Act?,6,2,80,2,MAIN_QUESTION_TOPIC_MISMATCH;RUBRIC_ANSWER_TOO_LONG
Registry Act,13.2,Electronic information storage system,What filing or registration requirements are established by section 13.2 of Registry Act?,2,2,90,2,RUBRIC_ANSWER_TOO_LONG;CONCEPT_FRAGMENT
Registry Act,14,Contents of registry office,What offences and penalties are established by section 14 of Registry Act?,3,1,100,0,
Registry Act,15,Recopying or repairing of book,What powers or authority are established by section 15 of Registry Act?,3,1,80,4,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Registry Act,15.1,,What does section 15.1 of Registry Act provide?,1,1,90,1,QUESTION_MISSING_SUBJECT
Registry Act,16,Death or removal of registrar,"How may a filed plan of survey be corrected under section 16 of Registry Act, and what limits and filing consequences apply?",8,1,90,1,QUESTION_MISSING_SUBJECT
Registry Act,17,Powers of Chief Registrar,What powers or authority are established by section 17 of Registry Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,18,Replacement of registrar by temporary officer,What duties does section 18 of Registry Act impose about replacement of registrar by temporary officer?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,19,Registration of instruments,What filing or registration requirements are established by section 19 of Registry Act?,6,2,100,0,
Registry Act,19.01,Instrument that may be submitted as a digitally scanned image,What filing or registration requirements are established by section 19.01 of Registry Act?,5,2,80,1,MALFORMED_QUESTION
Registry Act,19.02,Authentication of digitally scanned image,What duties does section 19.02 of Registry Act impose about authentication of digitally scanned image?,3,3,85,3,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Registry Act,19.03,Authorization to submit digitally scanned image,What powers or authority are established by section 19.03 of Registry Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,19.04,Effect of digitally scanned image of an instrument,What requirements are established by section 19.04 of Registry Act?,1,1,100,0,
Registry Act,19.05,Subscriber or land surveyor agreement,What notice requirements are established by section 19.05 of Registry Act?,3,2,70,6,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG
Registry Act,19.1,Effect of registration in the Personal Property Registry,What notice requirements are established by section 19.1 of Registry Act?,1,3,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Registry Act,20,Contents of conveyance respecting intestacy,What does section 20 of Registry Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,21,Offences and penalty respecting false affidavit,What offences or penalties are established by section 21 of Registry Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,22,Enlargement of time for registration of will,What filing or registration requirements are established by section 22 of Registry Act?,1,2,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,23,"Registration of will in extra-provincial court, registration of notarial will",What certification requirements are established by section 23 of Registry Act?,3,1,75,5,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG
Registry Act,24,Registration of will probated in British Dominion,What filing or registration requirements are established by section 24 of Registry Act?,1,1,80,1,MALFORMED_QUESTION
Registry Act,25,Registration of unprobated will,What filing or registration requirements are established by section 25 of Registry Act?,3,1,75,2,MALFORMED_QUESTION;RUBRIC_ANSWER_TOO_LONG
Registry Act,26,"Registration of probated will, registration of sealed will",What certification requirements are established by section 26 of Registry Act?,1,1,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Registry Act,27,Registration of foreign decree,What order-making rules are established by section 27 of Registry Act?,1,1,65,2,MAIN_QUESTION_TOPIC_MISMATCH;MALFORMED_QUESTION
Registry Act,28,Registration of corporate documents,What certification requirements are established by section 28 of Registry Act?,1,2,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Registry Act,29,Registration of notice of sale under mortgage,What powers or authority are established by section 29 of Registry Act?,1,1,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Registry Act,30,Proof of signature and notice,What powers or authority are established by section 30 of Registry Act?,4,5,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Registry Act,31,Duty of registrar respecting notice of sale,What duties does section 31 of Registry Act impose about duty of registrar respecting notice of sale?,2,3,95,1,CONCEPT_FRAGMENT
Registry Act,32,Filing of notice of sale,What notice requirements are established by section 32 of Registry Act?,1,1,100,0,
Registry Act,33,Registering lien or certificate under the Construction Remedies Act,What certification requirements are established by section 33 of Registry Act?,1,3,95,1,CONCEPT_FRAGMENT
Registry Act,34,Effect of registration of conveyance,What filing or registration requirements are established by section 34 of Registry Act?,1,1,100,0,
Registry Act,35,Registration of copy,What certification requirements are established by section 35 of Registry Act?,1,1,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Registry Act,36,Affidavit of execution or acknowledgment,What does section 36 of Registry Act provide?,3,1,45,5,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT
Registry Act,37,Proof of execution,What does section 37 of Registry Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,38,Sufficiency of name in affidavit,What filing or registration requirements are established by section 38 of Registry Act?,1,1,100,0,
Registry Act,39,Error or omission in affidavit of execution,What requirements are established by section 39 of Registry Act?,1,1,75,2,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Registry Act,40,Compellability of witness,What order-making rules are established by section 40 of Registry Act?,1,1,75,2,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Registry Act,41,Certificate of proof of instrument,What certification requirements are established by section 41 of Registry Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,42,Proof of signature or seal,What requirements are established by section 42 of Registry Act?,1,1,75,2,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Registry Act,43,"Seal of court of record, seal of corporation",What powers or authority are established by section 43 of Registry Act?,1,2,75,2,MAIN_QUESTION_TOPIC_MISMATCH;TOO_FEW_RUBRIC_ITEMS
Registry Act,44,Execution of instruments,What does section 44 of Registry Act provide?,2,1,85,3,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT
Registry Act,45,Registrar and deputy registrar ex officio commissioner of oaths,What does section 45 of Registry Act provide?,1,1,100,0,
Registry Act,46,Certificate of development officer,What are the application requirements under section 46 of Registry Act?,4,2,60,3,MAIN_QUESTION_TOPIC_MISMATCH;MALFORMED_QUESTION;RUBRIC_ANSWER_TOO_LONG
Registry Act,47,Persons before whom proof of execution made,What powers or authority are established by section 47 of Registry Act?,1,1,75,2,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION
Registry Act,48,Registration of Crown grant,What powers or authority are established by section 48 of Registry Act?,1,1,65,2,MAIN_QUESTION_TOPIC_MISMATCH;MALFORMED_QUESTION
Registry Act,49,Certificate of cancellation of Crown grant,What powers or authority are established by section 49 of Registry Act?,2,3,70,3,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT
Registry Act,50,"Registration of original instrument, annexed plan, instrument conveying parcel",What filing or registration requirements are established by section 50 of Registry Act?,9,7,55,3,RUBRIC_ANSWER_TOO_LONG;MALFORMED_QUESTION;MALFORMED_QUESTION
Registry Act,51,Certificate of registrar,What order-making rules are established by section 51 of Registry Act?,2,2,85,3,GENERIC_RUBRIC_PROMPT;RUBRIC_ANSWER_TOO_LONG;GENERIC_RUBRIC_PROMPT
Registry Act,52,Repealed,What does section 52 of Registry Act provide?,1,1,100,0,
Registry Act,53,Court order respecting production of book or record,What order-making rules are established by section 53 of Registry Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,54,Certificate of satisfaction of mortgage,What certification requirements are established by section 54 of Registry Act?,1,1,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Registry Act,55,Certificate of partial release of mortgage,What certification requirements are established by section 55 of Registry Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,56,Conveyance by married woman,What does section 56 of Registry Act provide?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,57,Certificate of satisfaction of judgment,What certification requirements are established by section 57 of Registry Act?,1,1,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Registry Act,58,Registration of Order for Partition or Sale,What order-making rules are established by section 58 of Registry Act?,1,1,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Registry Act,59,Registration of certificate of pending litigation,What notice requirements are established by section 59 of Registry Act?,1,1,100,0,
Registry Act,60,"Registration of power of attorney, conveyance under power of attorney",What powers or authority are established by section 60 of Registry Act?,2,1,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Registry Act,61,Summons to witness,What filing or registration requirements are established by section 61 of Registry Act?,1,1,100,0,
Registry Act,62,Orders of Provincial or Federal Cabinet,What order-making rules are established by section 62 of Registry Act?,1,1,85,1,MAIN_QUESTION_TOPIC_MISMATCH
Registry Act,63,Registration of bond to Crown,What filing or registration requirements are established by section 63 of Registry Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,64,Registration as notice,What duties does section 64 of Registry Act impose about registration as notice?,1,1,100,0,
Registry Act,65,Payment of fees,What powers or authority are established by section 65 of Registry Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Registry Act,65.1,Payment of fees of a digitally scanned image of an instrument,What filing or registration requirements are established by section 65.1 of Registry Act?,1,0,95,1,GENERIC_RUBRIC_PROMPT
